Nome Empresa,Nome Pregao,Ticker,Setor,Subsetor,Segmento
BCO BRASIL S.A.,BRASIL,BBAS11,Financeiro,Intermediários Financeiros,Bancos
BCO BRASIL S.A.,BRASIL,BBAS12,Financeiro,Intermediários Financeiros,Bancos
BCO BRASIL S.A.,BRASIL,BBAS3,Financeiro,Intermediários Financeiros,Bancos
ALPARGATAS S.A.,ALPARGATAS,ALPA3,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
ALPARGATAS S.A.,ALPARGATAS,ALPA4,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,SARAIVA LIVR,SLED3,Consumo Cíclico,Comércio,Produtos Diversos
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,SARAIVA LIVR,SLED4,Consumo Cíclico,Comércio,Produtos Diversos
SONDOTECNICA ENGENHARIA SOLOS S.A.,SONDOTECNICA,SOND3,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
SONDOTECNICA ENGENHARIA SOLOS S.A.,SONDOTECNICA,SOND5,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
SONDOTECNICA ENGENHARIA SOLOS S.A.,SONDOTECNICA,SOND6,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
SPRINGER S.A.,SPRINGER,SPRI3,Financeiro,Holdings Diversificadas,Holdings Diversificadas
SPRINGER S.A.,SPRINGER,SPRI5,Financeiro,Holdings Diversificadas,Holdings Diversificadas
SPRINGER S.A.,SPRINGER,SPRI6,Financeiro,Holdings Diversificadas,Holdings Diversificadas
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,WLM IND COM,WLMM3,Bens Industriais,Comércio,Material de Transporte
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,WLM IND COM,WLMM4,Bens Industriais,Comércio,Material de Transporte
BCO ESTADO DE SERGIPE S.A. - BANESE,BANESE,BGIP3,Financeiro,Intermediários Financeiros,Bancos
BCO ESTADO DE SERGIPE S.A. - BANESE,BANESE,BGIP4,Financeiro,Intermediários Financeiros,Bancos
TECNOSOLO ENGENHARIA S.A.,TECNOSOLO,TCNO3,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TECNOSOLO ENGENHARIA S.A.,TECNOSOLO,TCNO4,Bens Industriais,Construção e Engenharia,Engenharia Consultiva
TEKA-TECELAGEM KUEHNRICH S.A.,TEKA,TEKA3,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
TEKA-TECELAGEM KUEHNRICH S.A.,TEKA,TEKA4,Consumo Cíclico,Tecidos. Vestuário e Calçados,Fios e Tecidos
TEKNO S.A. - INDUSTRIA E COMERCIO,TEKNO,TKNO3,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
TEKNO S.A. - INDUSTRIA E COMERCIO,TEKNO,TKNO4,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
TELEC BRASILEIRAS S.A. TELEBRAS,TELEBRAS,TELB3,Comunicações,Telecomunicações,Telecomunicações
TELEC BRASILEIRAS S.A. TELEBRAS,TELEBRAS,TELB4,Comunicações,Telecomunicações,Telecomunicações
OI S.A.,OI,OIBR3,Comunicações,Telecomunicações,Telecomunicações
OI S.A.,OI,OIBR4,Comunicações,Telecomunicações,Telecomunicações
TRONOX PIGMENTOS DO BRASIL S.A.,CRISTAL,CRPG3,Materiais Básicos,Químicos,Químicos Diversos
TRONOX PIGMENTOS DO BRASIL S.A.,CRISTAL,CRPG5,Materiais Básicos,Químicos,Químicos Diversos
TRONOX PIGMENTOS DO BRASIL S.A.,CRISTAL,CRPG6,Materiais Básicos,Químicos,Químicos Diversos
BANESTES S.A. - BCO EST ESPIRITO SANTO,BANESTES,BEES3,Financeiro,Intermediários Financeiros,Bancos
BANESTES S.A. - BCO EST ESPIRITO SANTO,BANESTES,BEES4,Financeiro,Intermediários Financeiros,Bancos
UNIPAR CARBOCLORO S.A.,UNIPAR,UNIP3,Materiais Básicos,Químicos,Químicos Diversos
UNIPAR CARBOCLORO S.A.,UNIPAR,UNIP5,Materiais Básicos,Químicos,Químicos Diversos
UNIPAR CARBOCLORO S.A.,UNIPAR,UNIP6,Materiais Básicos,Químicos,Químicos Diversos
BCO ESTADO DO PARA S.A.,BANPARA,BPAR3,Financeiro,Intermediários Financeiros,Bancos
VULCABRAS/AZALEIA S.A.,VULCABRAS,VULC3,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados
IOCHPE MAXION S.A.,IOCHP-MAXION,MYPK3,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
AZEVEDO E TRAVASSOS S.A.,AZEVEDO,AZEV3,Bens Industriais,Construção e Engenharia,Construção Pesada
AZEVEDO E TRAVASSOS S.A.,AZEVEDO,AZEV4,Bens Industriais,Construção e Engenharia,Construção Pesada
WETZEL S.A.,WETZEL S/A,MWET3,Bens Industriais,Material de Transporte,Material Rodoviário
WETZEL S.A.,WETZEL S/A,MWET4,Bens Industriais,Material de Transporte,Material Rodoviário
BCO ESTADO DO RIO GRANDE DO SUL S.A.,BANRISUL,BRSR3,Financeiro,Intermediários Financeiros,Bancos
BCO ESTADO DO RIO GRANDE DO SUL S.A.,BANRISUL,BRSR5,Financeiro,Intermediários Financeiros,Bancos
BCO ESTADO DO RIO GRANDE DO SUL S.A.,BANRISUL,BRSR6,Financeiro,Intermediários Financeiros,Bancos
BOMBRIL S.A.,BOMBRIL,BOBR3,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BOMBRIL S.A.,BOMBRIL,BOBR4,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza
BCO NORDESTE DO BRASIL S.A.,NORD BRASIL,BNBR3,Financeiro,Intermediários Financeiros,Bancos
INDUSTRIAS J B DUARTE S.A.,J B DUARTE,JBDU3,Outros,Outros,Outros
INDUSTRIAS J B DUARTE S.A.,J B DUARTE,JBDU4,Outros,Outros,Outros
RECRUSUL S.A.,RECRUSUL,RCSL3,Bens Industriais,Material de Transporte,Material Rodoviário
RECRUSUL S.A.,RECRUSUL,RCSL4,Bens Industriais,Material de Transporte,Material Rodoviário
KLABIN S.A.,KLABIN S/A,KLBN11,Materiais Básicos,Madeira e Papel,Papel e Celulose
KLABIN S.A.,KLABIN S/A,KLBN3,Materiais Básicos,Madeira e Papel,Papel e Celulose
KLABIN S.A.,KLABIN S/A,KLBN4,Materiais Básicos,Madeira e Papel,Papel e Celulose
SANSUY S.A. INDUSTRIA DE PLASTICOS,SANSUY,SNSY3,Materiais Básicos,Materiais Diversos,Materiais Diversos
SANSUY S.A. INDUSTRIA DE PLASTICOS,SANSUY,SNSY5,Materiais Básicos,Materiais Diversos,Materiais Diversos
SANSUY S.A. INDUSTRIA DE PLASTICOS,SANSUY,SNSY6,Materiais Básicos,Materiais Diversos,Materiais Diversos
SIDERURGICA J. L. ALIPERTI S.A.,ALIPERTI,APTI3,Consumo não Cíclico,Agropecuária,Agricultura
SIDERURGICA J. L. ALIPERTI S.A.,ALIPERTI,APTI4,Consumo não Cíclico,Agropecuária,Agricultura
BCO MERCANTIL DE INVESTIMENTOS S.A.,MERC INVEST,BMIN3,Financeiro,Intermediários Financeiros,Bancos
BCO MERCANTIL DE INVESTIMENTOS S.A.,MERC INVEST,BMIN4,Financeiro,Intermediários Financeiros,Bancos
BCO MERCANTIL DO BRASIL S.A.,MERC BRASIL,BMEB3,Financeiro,Intermediários Financeiros,Bancos
BCO MERCANTIL DO BRASIL S.A.,MERC BRASIL,BMEB4,Financeiro,Intermediários Financeiros,Bancos
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,JOSAPAR,JOPA3,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP,JOSAPAR,JOPA4,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos
HAGA S.A. INDUSTRIA E COMERCIO,HAGA S/A,HAGA3,Bens Industriais,Construção e Engenharia,Produtos para Construção
HAGA S.A. INDUSTRIA E COMERCIO,HAGA S/A,HAGA4,Bens Industriais,Construção e Engenharia,Produtos para Construção
METALURGICA RIOSULENSE S.A.,RIOSULENSE,RSUL3,Bens Industriais,Material de Transporte,Material Rodoviário
METALURGICA RIOSULENSE S.A.,RIOSULENSE,RSUL4,Bens Industriais,Material de Transporte,Material Rodoviário
POLPAR S.A.,POLPAR,PPAR3,Outros,Outros,Outros
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.,PLASCAR PART,PLAS3,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas
MINUPAR PARTICIPACOES S.A.,MINUPAR,MNPR3,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados
PBG S/A,PORTOBELLO,PTBL3,Bens Industriais,Construção e Engenharia,Produtos para Construção
SAO CARLOS EMPREEND E PARTICIPACOES S.A.,SAO CARLOS,SCAR3,Financeiro,Exploração de Imóveis,Exploração de Imóveis
BCO ALFA DE INVESTIMENTO S.A.,ALFA INVEST,BRIV3,Financeiro,Intermediários Financeiros,Bancos
BCO ALFA DE INVESTIMENTO S.A.,ALFA INVEST,BRIV4,Financeiro,Intermediários Financeiros,Bancos
CEMEPE INVESTIMENTOS S.A.,CEMEPE,MAPT3,Outros,Outros,Outros
CEMEPE INVESTIMENTOS S.A.,CEMEPE,MAPT4,Outros,Outros,Outros
SUZANO S.A.,SUZANO S.A.,SUZB3,Materiais Básicos,Madeira e Papel,Papel e Celulose
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,RANDON PART,RAPT3,Bens Industriais,Material de Transporte,Material Rodoviário
RANDON S.A. IMPLEMENTOS E PARTICIPACOES,RANDON PART,RAPT4,Bens Industriais,Material de Transporte,Material Rodoviário
BRB BCO DE BRASILIA S.A.,BRB BANCO,BSLI3,Financeiro,Intermediários Financeiros,Bancos
BRB BCO DE BRASILIA S.A.,BRB BANCO,BSLI4,Financeiro,Intermediários Financeiros,Bancos
CIA PARANAENSE DE ENERGIA - COPEL,COPEL,CPLE3,Utilidade Pública,Energia Elétrica,Energia Elétrica
CIA PARANAENSE DE ENERGIA - COPEL,COPEL,CPLE5,Utilidade Pública,Energia Elétrica,Energia Elétrica
CIA PARANAENSE DE ENERGIA - COPEL,COPEL,CPLE6,Utilidade Pública,Energia Elétrica,Energia Elétrica
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,USIMINAS,USIM3,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,USIMINAS,USIM5,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
USINAS SID DE MINAS GERAIS S.A.-USIMINAS,USIMINAS,USIM6,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia
WHIRLPOOL S.A.,WHIRLPOOL,WHRL3,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
WHIRLPOOL S.A.,WHIRLPOOL,WHRL4,Consumo Cíclico,Utilidades Domésticas,Eletrodomésticos
