Ticker,Cap,Acoes,VolMed2m
BBAS3,91177600000,2865420000,734571000
ALPA3,14113500000,588062000,47137
ALPA4,17018500000,588062000,59437800
SLED3,70492300,38946000,362451
SLED4,35830300,38946000,880866
SOND3,93404000,2458000,0
SOND5,90946000,2458000,0
SOND6,76419200,2458000,217
SPRI3,37049800,2529000,67439
SPRI5,30980200,2529000,5755
SPRI6,55638000,2529000,446
WLMM3,436612000,36414700,2613
WLMM4,622327000,36414700,23717
BGIP3,651141000,15285000,200
BGIP4,387780000,15285000,77652
TCNO3,16881000,6620000,186060
TCNO4,9599000,6620000,162456
TEKA3,19662300,503000,69465
TEKA4,6664750,503000,360505
TKNO4,115562000,2948000,0
TELB3,10586900000,67865000,227688
TELB4,2160140000,67865000,1496110
OIBR3,6847340000,5954210000,168075000
OIBR4,9050390000,5954210000,3846250
CRPG3,716769000,29019000,437
CRPG5,661923000,29019000,236273
CRPG6,672370000,29019000,25463
BEES3,1908110000,315913000,200081
BEES4,1971300000,315913000,40893
UNIP3,2896390000,97818000,100231
UNIP5,2836720000,97818000,26578
UNIP6,2323180000,97818000,4007000
BPAR3,1733670000,9522000,0
VULC3,1233700000,245756000,5883050
MYPK3,2199730000,153720000,29233000
AZEV3,74628000,5400000,567982
AZEV4,28080000,5400000,890000
MWET3,14406000,2058000,0
MWET4,7902720,2058000,52671
BRSR3,6858490000,408974000,1093140
BRSR5,8588450000,408974000,52943
BRSR6,5590670000,408974000,38561800
BOBR3,260510000,260510000,0
BOBR4,591358000,260510000,288506
BNBR3,6742980000,86371000,38309
JBDU3,17415900,5019000,67644
JBDU4,7930020,5019000,117059
RCSL4,155437000,75823000,3142930
KLBN11,22759900000,5548500000,185628000
KLBN3,23692100000,5548500000,2009190
KLBN4,22582400000,5548500000,11270600
SNSY5,21442300,193000,12938
APTI4,66500000,19000,0
BMIN3,112664000,4825000,51093
BMIN4,90710000,4825000,19546
BMEB3,851236000,52416000,35733
BMEB4,723865000,52416000,135624
JOPA3,253968000,10582000,1620
JOPA4,275132000,10582000,60
HAGA3,45815000,11900000,130508
HAGA4,22253000,11900000,335962
RSUL4,67045000,583000,1798
PLAS3,66101000,12425000,64506
MNPR3,36210000,7100000,38590
PTBL3,656144000,158489000,6770930
SCAR3,2145510000,57737000,549216
BRIV3,753108000,88601000,3059
BRIV4,691088000,88601000,35749
MAPT3,59735000,919000,0
MAPT4,56049800,919000,18055
SUZB3,51564700000,1361260000,411639000
RAPT3,2776580000,345776000,133503
RAPT4,3298700000,345776000,39585000
